,url
0,https://www.amazon.de/-/en/Imperial-Studios-Womens-Gloves-black/dp/B07B24YFVQ/ref=sr_1_1?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463194&qsid=262-9748600-4572210&s=apparel&sr=1-1&sres=B07B24YFVQ%2CB082M89JWQ%2CB0868P5QSD%2CB081SLSTLY%2CB07ZGH5123%2CB08KZSG7RY%2CB08KZQYCBJ%2CB077S99W2D%2CB08L13SKJ2%2CB07X95NHXS%2CB08NVV3QKC%2CB0868NGJYR%2CB0868PJWNT%2CB09J8HJJ4K%2CB09CYCNDC6%2CB0784SGPRD%2CB0868PMLVY%2CB0868NLJV5%2CB0868NH5R4%2CB0868NH1H4&srpt=SPORT_ACTIVITY_GLOVE
2,https://www.amazon.de/-/en/Burton-Gore-Tex-Gondy-Leather-103261/dp/B077S99W2D/ref=sr_1_8?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463194&qsid=262-9748600-4572210&s=apparel&sr=1-8&sres=B07B24YFVQ%2CB082M89JWQ%2CB0868P5QSD%2CB081SLSTLY%2CB07ZGH5123%2CB08KZSG7RY%2CB08KZQYCBJ%2CB077S99W2D%2CB08L13SKJ2%2CB07X95NHXS%2CB08NVV3QKC%2CB0868NGJYR%2CB0868PJWNT%2CB09J8HJJ4K%2CB09CYCNDC6%2CB0784SGPRD%2CB0868PMLVY%2CB0868NLJV5%2CB0868NH5R4%2CB0868NH1H4&srpt=SPORT_ACTIVITY_GLOVE
3,https://www.amazon.de/-/en/YISEVEN-Shearling-Zealand-Lambskin-Leather/dp/B0784SGPRD/ref=sr_1_16?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463194&qsid=262-9748600-4572210&s=apparel&sr=1-16&sres=B07B24YFVQ%2CB082M89JWQ%2CB0868P5QSD%2CB081SLSTLY%2CB07ZGH5123%2CB08KZSG7RY%2CB08KZQYCBJ%2CB077S99W2D%2CB08L13SKJ2%2CB07X95NHXS%2CB08NVV3QKC%2CB0868NGJYR%2CB0868PJWNT%2CB09J8HJJ4K%2CB09CYCNDC6%2CB0784SGPRD%2CB0868PMLVY%2CB0868NLJV5%2CB0868NH5R4%2CB0868NH1H4&srpt=SPORT_ACTIVITY_GLOVE
4,https://www.amazon.de/-/en/Timberland-Commuter-Stretch-Touchscreen-Technology/dp/B005QR76SQ/ref=sr_1_33?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463194&qsid=262-9748600-4572210&s=apparel&sr=1-33&sres=B07B24YFVQ%2CB082M89JWQ%2CB0868P5QSD%2CB081SLSTLY%2CB07ZGH5123%2CB08KZSG7RY%2CB08KZQYCBJ%2CB077S99W2D%2CB08L13SKJ2%2CB07X95NHXS%2CB08NVV3QKC%2CB0868NGJYR%2CB0868PJWNT%2CB09J8HJJ4K%2CB09CYCNDC6%2CB0784SGPRD%2CB0868PMLVY%2CB0868NLJV5%2CB0868NH5R4%2CB0868NH1H4&srpt=SPORT_ACTIVITY_GLOVE
5,https://www.amazon.de/-/en/Windproof-Rechargeable-Outdoor-Waterproof-Intelligent/dp/B082R7STP7/ref=sr_1_49?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463197&s=apparel&sr=1-49
6,https://www.amazon.de/-/en/HESTRA-leather-couloir-gloves-svart/dp/B07FWCG4TZ/ref=sr_1_54?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463197&s=apparel&sr=1-54
7,https://www.amazon.de/-/en/Lauren-Sheepskin-Leather-Thinsulate-Gloves/dp/B07MXNYN9G/ref=sr_1_55?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463197&s=apparel&sr=1-55
8,https://www.amazon.de/-/en/Burton-Baker-Glove-Heather-Medium/dp/B00IABQK2S/ref=sr_1_74?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463197&s=apparel&sr=1-74
9,https://www.amazon.de/-/en/Gordini-DownTek-Mens-Standard-Gloves/dp/B086D4JM8L/ref=sr_1_75?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463197&s=apparel&sr=1-75
10,https://www.amazon.de/-/en/Burton-Gore-Tex-Leather-Mittens-Gloves/dp/B07DPX26JT/ref=sr_1_79?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463197&s=apparel&sr=1-79
11,https://www.amazon.de/-/en/dp/B086C1M9NY/ref=sr_1_97?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463199&s=apparel&sr=1-97
12,https://www.amazon.de/-/en/YISEVEN-Deerskin-Leather-Cashmere-Hand-Stitched/dp/B08GKV6V4L/ref=sr_1_107?crid=3RF7JJ8KD8QRY&dchild=1&keywords=touchscreen+handschuhe&qid=1634463199&s=apparel&sr=1-107
